Away,Home,Away Q1,Away Q2,Away Q3,Away Q4,Home Q1,Home Q2,Home Q3,Home Q4
Green Bay Packers,Detroit Lions,0,7,1,8,3,0,7,4
Pittsburgh Steelers,Kansas City Chiefs,7,7,7,4,7,7,0,4
Minnesota Vikings,New York Giants,0,0,0,0,3,3,7,7
Denver Broncos,Los Angeles Raiders,7,1,1,4,4,1,5,2
Los Angeles Raiders,Buffalo Bills,0,7,3,3,0,3,2,9
New York Giants,San Francisco 49ers,0,3,3,3,9,3,7,4
Green Bay Packers,Dallas Cowboys,3,3,0,7,0,7,4,7
Kansas City Chiefs,Houston Oilers,0,0,7,8,0,0,0,0
Kansas City Chiefs,Buffalo Bills,6,6,3,3,7,0,0,0
San Francisco 49ers,Dallas Cowboys,0,7,4,1,7,8,5,8
Dallas Cowboys,Buffalo Bills,6,6,0,0,3,3,3,3
Detroit Lions,Green Bay Packers,0,0,3,2,7,0,3,6
Kansas City Chiefs,Miami Dolphins,4,7,7,7,7,7,7,7
Chicago Bears,Minnesota Vikings,0,4,1,5,3,9,2,8
New England Patriots,Cleveland Browns,0,0,0,3,3,0,7,0
Cleveland Browns,Pittsburgh Steelers,0,3,3,9,3,4,7,9
Chicago Bears,San Francisco 49ers,3,3,3,5,7,0,7,4
Green Bay Packers,Dallas Cowboys,3,9,9,9,4,8,8,5
Miami Dolphins,San Diego Chargers,7,1,1,1,0,6,5,2
San Diego Chargers,Pittsburgh Steelers,0,3,0,7,7,0,3,3
Dallas Cowboys,San Francisco 49ers,7,4,1,8,1,1,8,8
San Francisco 49ers,San Diego Chargers,4,8,2,9,7,0,8,6
Miami Dolphins,Buffalo Bills,0,0,0,2,0,4,7,7
Detroit Lions,Philadelphia Eagles,7,7,1,7,7,8,1,8
Indianapolis Colts,San Diego Chargers,0,4,1,5,3,0,7,0
Atlanta Falcons,Green Bay Packers,7,0,0,0,4,7,7,7
Buffalo Bills,Pittsburgh Steelers,0,7,4,1,7,3,6,0
Green Bay Packers,San Francisco 49ers,4,1,4,7,0,3,0,7
Philadelphia Eagles,Dallas Cowboys,0,3,3,1,3,7,3,0
Indianapolis Colts,Kansas City Chiefs,0,7,0,0,7,7,7,7
Green Bay Packers,Dallas Cowboys,0,7,7,7,4,4,4,8
Indianapolis Colts,Pittsburgh Steelers,3,6,9,6,3,0,3,0
Pittsburgh Steelers,Dallas Cowboys,0,7,7,7,0,3,0,7
Minnesota Vikings,Dallas Cowboys,0,0,7,5,7,0,7,0
Jacksonville Jaguars,Buffalo Bills,0,7,0,0,4,7,0,7
Indianapolis Colts,Pittsburgh Steelers,0,4,4,4,0,3,1,2
Philadelphia Eagles,San Francisco 49ers,0,0,0,0,0,7,4,4
San Francisco 49ers,Green Bay Packers,0,7,4,4,4,1,8,5
Jacksonville Jaguars,Denver Broncos,0,3,0,0,2,2,2,7
Dallas Cowboys,Carolina Panthers,3,1,4,7,7,7,0,6
Pittsburgh Steelers,New England Patriots,0,0,3,3,4,1,1,8
Carolina Panthers,Green Bay Packers,7,0,3,3,0,7,7,0
Jacksonville Jaguars,New England Patriots,0,3,6,6,7,3,3,0
New England Patriots,Green Bay Packers,4,4,1,1,0,7,5,5
Jacksonville Jaguars,Denver Broncos,0,7,7,7,4,1,1,2
Minnesota Vikings,New York Giants,0,3,0,3,6,9,9,2
Miami Dolphins,New England Patriots,0,0,0,3,0,7,7,7
Detroit Lions,Tampa Bay Buccaneers,0,0,3,0,3,3,0,0
